,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_mean,NDVI_stdDev,NDVI_min,NDVI_max,EVI_p25,EVI_p50,EVI_p75,EVI_mean,EVI_stdDev,EVI_min,EVI_max,SAR_mean,SAR_stdDev,SAR_p25,SAR_p50,SAR_p75,SAR_min,SAR_max,NBR_mean,NBR_stdDev,NBR_p25,NBR_p50,NBR_p75,NBR_min,NBR_max,Event
0,,,,,,,,,,,,,,,0.02461248,0.220504371,0,0,0,0,2,,,,,,,,1
1,,,,,,,,,,,,,,,0.018387972,0.154672622,0,0,0,0,2,,,,,,,,1
2,-0.684596967,-0.83047768,-0.787800463,-0.8465966,-0.298169899,0.559103871,-2.274485237,24.9455171,25.06243454,25.18363733,19.9568009,-273.7786677,2535.125483,-11365.66929,0.021827967,0.189649733,0,0,0,0,2,-29.0228736,-1.904074129,-28.09258778,-29.41731749,-29.36637836,-21.56081608,-33.97360262,1
3,-0.169738828,-0.269642244,-0.214493046,-0.260471428,-0.148958161,0.578847442,-1.014007755,5.387628238,4.405479756,4.561352611,4.407845551,-1.383097636,5.718943856,-2.613441136,0.034166929,0.236687794,0,0,0,0,2,-30.56353105,-0.730406358,-30.09530448,-30.55934491,-30.48893923,-28.013397,-33.03803107,1
4,,,,,,,,,,,,,,,0.330468173,0.733320514,0,0,0,0,2,,,,,,,,1
5,-9.484709445,-11.01769569,-11.00614622,-10.38879973,-4.275926522,17.93664149,-43.53872782,-18.0529888,-18.0529888,-18.0529888,-18.56916892,-36.489545,476.6666667,-1495.625,0.014243081,0.157266529,0,0,0,0,2,4.808724338,-3.777758844,7.135965906,5.22230566,5.241822496,21.96493187,-28.47161417,1
6,-26.89641339,-31.88260925,-31.79285116,-33.11600025,-9.083242491,-13.27027973,-67.35209731,-43.72493217,-54.49432686,-54.28414767,-58.16885094,-20.90793829,-21.00472438,-158.5361854,0.033130526,0.217685919,0,0,0,0,2,-23.28243789,-8.729879967,-16.82735889,-22.60243732,-22.524112,-1.239029893,-57.86857946,1
7,,,,,,,,,,,,,,,0.170897334,0.538512605,0,0,0,0,2,,,,,,,,1
8,-0.400472869,-0.687583926,-0.624806382,-0.713987773,-0.525244426,0.986103043,-3.29516374,13.62968161,13.80183252,13.97387815,13.3799304,-102.8648317,1203.528342,-5609.167167,0.014609677,0.138468843,0,0,0,0,2,-29.04832313,-4.034901626,-26.08239951,-28.12478434,-28.05437763,-19.55317903,-45.55820416,1
9,-12.2145893,-16.51657645,-16.49916151,-17.51422559,-7.222700786,-2.404327807,-66.76658605,-25.10642947,-30.57415988,-30.57415988,-33.43335324,5.198224135,-572.8761779,607.7173767,0.042897016,0.251163625,0,0,0,0,2,-3.741255768,-7.607386118,0.531381678,-3.338669362,-3.309451593,19.36120953,-56.23346292,1
10,-11.31961574,-12.28326869,-12.27447483,-11.99690193,-2.830648886,1.094673928,-24.09592244,-15.96445936,-17.51314152,-17.50152222,-17.19080081,-4.110941668,2.107288361,-38.97561578,0.011982575,0.133398032,0,0,0,0,2,-5.632005225,-7.247744387,-2.033335719,-3.584354683,-3.57555872,5.402442054,-43.20118907,1
